event,tag,sport,sport_code,sport_url,venue_name,venue_lat,venue_long,venue_name_clean
Men's 200m Backstroke,swimming,Swimming,SWM,https://olympics.com/en/paris-2024/sports/swimming,Centre Aquatique Olympique Métropole du Grand Paris (Swimming),48.9236,2.3553,Centre Aquatique Olympique Métropole du Grand Paris
Men's 100m Breaststroke,swimming,Swimming,SWM,https://olympics.com/en/paris-2024/sports/swimming,Centre Aquatique Olympique Métropole du Grand Paris (Swimming),48.9236,2.3553,Centre Aquatique Olympique Métropole du Grand Paris
Men's 200m Breaststroke,swimming,Swimming,SWM,https://olympics.com/en/paris-2024/sports/swimming,Centre Aquatique Olympique Métropole du Grand Paris (Swimming),48.9236,2.3553,Centre Aquatique Olympique Métropole du Grand Paris
Men's 100m Butterfly,swimming,Swimming,SWM,https://olympics.com/en/paris-2024/sports/swimming,Centre Aquatique Olympique Métropole du Grand Paris (Swimming),48.9236,2.3553,Centre Aquatique Olympique Métropole du Grand Paris
Men's 200m Butterfly,swimming,Swimming,SWM,https://olympics.com/en/paris-2024/sports/swimming,Centre Aquatique Olympique Métropole du Grand Paris (Swimming),48.9236,2.3553,Centre Aquatique Olympique Métropole du Grand Paris
Men's 200m Individual Medley,swimming,Swimming,SWM,https://olympics.com/en/paris-2024/sports/swimming,Centre Aquatique Olympique Métropole du Grand Paris (Swimming),48.9236,2.3553,Centre Aquatique Olympique Métropole du Grand Paris
Men's 400m Individual Medley,swimming,Swimming,SWM,https://olympics.com/en/paris-2024/sports/swimming,Centre Aquatique Olympique Métropole du Grand Paris (Swimming),48.9236,2.3553,Centre Aquatique Olympique Métropole du Grand Paris
Men's 4 x 100m Freestyle Relay,swimming,Swimming,SWM,https://olympics.com/en/paris-2024/sports/swimming,Centre Aquatique Olympique Métropole du Grand Paris (Swimming),48.9236,2.3553,Centre Aquatique Olympique Métropole du Grand Paris
Men's 4 x 200m Freestyle Relay,swimming,Swimming,SWM,https://olympics.com/en/paris-2024/sports/swimming,Centre Aquatique Olympique Métropole du Grand Paris (Swimming),48.9236,2.3553,Centre Aquatique Olympique Métropole du Grand Paris
Men's 4 x 100m Medley Relay,swimming,Swimming,SWM,https://olympics.com/en/paris-2024/sports/swimming,Centre Aquatique Olympique Métropole du Grand Paris (Swimming),48.9236,2.3553,Centre Aquatique Olympique Métropole du Grand Paris
